Tweets,First,Second,Third
Kaway kaway sa mga mauuna pa mag enlist sa idol nila 😂 hashtagHalalan2022,Negative,Negative,Positive
Let us fight for the welfare and rights of our medical frontliners hashtagPanataNgSON hashtagHalalan2022 🇵🇭 hashtagPanataNgAtenista 💙,Positive,Positive,Positive
All time slots full as per website Nakakatuwa people really want to get involved hashtagEleksyon2022 hashtagHalalan2022,Positive,Positive,Positive
Malapit na ang May 9 let us all pray for clean peaceful elections and for hashtaglenikiko to win with all od hashtagTropangAngat senators hashtagHalalan2022 hashtagGobyernongTapatAngatBuhayLahat Presidente Leni Robredo Bise Presidente Kiko Pangilinan,Positive,Positive,Positive
One of the reasons for the long lines in Cainta Elementary School is the broken ibutton of one of the vote counting machines which is used to feed the ballots via hashtagHalalan2022,Neutral,Negative,Neutral
hashtagEleksyon2022 Report no 6 Latest partial and official tally ng COMELECNBOC para sa senatorial at partylist group elections via,Neutral,Neutral,Positive
Gelo Ponon a former basher of VP said he has switched to Leni after doing his research He now actively campaigns for Robredo and is present now at the Miting de Avance hashtagHalalan2022,Neutral,Positive,Positive
Isang taon na ang nakalipas May progreso na ba mula sa nanalong kandidato 😉 hashtagHalalan2022 hashtagHalalanParaSaKalikasan hashtagPhilippineElections2022,Neutral,Negative,Positive
Kaso ng COVID19 sa Davao City posibleng tumaas matapos ang hashtagEleksyon2022 ayon sa local COVID19 task force via John Ryan Calonia Super Radyo Davao,Neutral,Negative,Neutral
Im a solid GMA News and PA supporter But Im so disappointed in the behaviors of the anchors during the telecast of the canvassing The disgust is understable but at least show us the walang kinikilingan Its one of the reasons why people shift to socmed hashtagEleksyon2022,Negative,Neutral,Neutral
Dont ever tell me that the hashtaghalalan2022 is a clean honest and orderly election hashtagEleksyon2022 is the worst automated hashtagelectionPH,Negative,Negative,Neutral
sino kaya may ari ng twibbonize for sure tuwang tuwa yun ngayon HAHAHAHA hashtagHalalan2022,Neutral,Neutral,Positive
panahon na para iangat ang nasa laylayan Nakaka proud tingnan ang Robredo at Pangilinan sa resibo sparkles hashtagEleksyon2022,Positive,Positive,Positive
move on na daw sabi ng pamilya mong victim ng disinformation hashtagEleksyon2022,Negative,Negative,Neutral
Against BBM and infavor of others Maybe VP leni ❤️ ✌🏼 hashtagEleksyon2022,Positive,Positive,Positive
hashtagBARMM hashtagBasilan hashtagLanaodelSur hashtagMaguindanao hashtagSulu hashtagTawiTawi hashtagCotabatoCity hashtagLeniKiko2022 hashtagHalalan2022 hashtagEleksyon2022,Neutral,Neutral,Positive
Replying to and FULL STORY Abby Binay sa Makati Miguel Ponce sa Pateros ipinroklamang mayor hashtagHalalan2022,Neutral,Neutral,Positive
HALALAN 2022 WALKING and SHARING MY VOTING EXPERIENCE HIGHLIGHTS hashtagHalalan2022 hashtagHalalanph2022,Neutral,Neutral,Positive
Casquejo Majority of which is yung mga dumi sa scanning kaya hindi siya nababasa I can assure the public na hindi po tayo magkakaproblema sa ating vote counting machines hashtagEleksyon2022,Neutral,Negative,Neutral
PERO SAANG MGA LUGAR NGA BA NANGGALING ANG MGA BOTO NA YON hashtagHalalan2022,Negative,Negative,Neutral
Mayo 9 is very near Can someone comfort me because Im feeling anxious about the electionEach day brings us closer to the hashtagElection2022PH and my anxiety grows,Neutral,Negative,Neutral
Hello ano na Baka naman Galawgalaw na hashtagHalalan2022 Quote,Negative,Negative,Neutral
Yan ang isa sa mga pinunto ni Senatorelect Chiz Escudero sa kaniyang mensahe sa proklamasyon ng mga nanalong senador sa hashtagEleksyon2022 sa PICC ngayong araw,Neutral,Neutral,Positive
Lets hope for an election that truly represents the will of the people 🗳️ 🇵🇭 hashtagHalalan2022 hashtagPeoplePower,Positive,Positive,Positive
Replying to IYO BERNARDO WILL NOT CONCEDE DEFEAT VS VICO SOTTO Pasig Vice Mayor Iyo Bernardo questions seeming landslide win of Mayor casts doubt on automated counting Bernardo in disbelief as he claims he got zero votes in his bailiwick Brgy Kapasigan hashtaghalalan2022,Neutral,Negative,Positive
Pilipinas May plano si Lord hashtagEleksyon2022 Lord,Positive,Neutral,Positive
Vote wisely hashtagEleksyon2022,Positive,Positive,Positive
hashtagUniTeam Grand Rally Cabanatuan Huwag natin kalimutan Atty Gadon sa Senado 🙏 hashtagHalalan2022 hashtagNuevaEcijaForBBMSARA PULA ANG CABANATUAN PULA ANG PAMPANGA hashtagPampangaForBBMSARA Ctto,Neutral,Neutral,Negative
Regardless of the content that we produce we should carry a strong mindset that our content should be truthful accurate and verified before we publish anything hashtagHalalan2022 hashtagPHVote hashtagPamilyaTalk hashtagFightFakeNews,Positive,Positive,Positive
May the best woman win 🌸 hashtagEleksyon2022,Positive,Positive,Negative
Bagamat hindi isang guro una nang sinabi ng tagapagsalita ni DuterteCarpio na si Liloan Cebu Mayor Christina GarciaFrasco na qualified ang presidential daughter na pamunuan ang Kagawaran ng Edukasyon hashtagBilangPilipino2022,Neutral,Negative,Positive
Wherever your affiliation sits even unaffiliated every CT citizen should be please to see that The Lessers werent successful in their attempt to steal this moment from Rep Thomas hashtagfreeandFAIRelections hashtagCTPolitics hashtagElection2022 hashtagCTDems hashtagCTGOP hashtagCTWFP,Negative,Neutral,Positive
Under the Local Govt Code permanent vacancies will be filled up thru appointment Garcia Ng governor Coming from the party of the one who caused the last vacancy hashtagEleksyon2022,Neutral,Neutral,Neutral
hashtagPH voters elect a new president on May 9 with 4 leading candidates including Ferdinand Marcos Jr the eldest son of the countrys former dictator vying to become the 🇵🇭 next leader hashtag🇵🇭 hashtagEleksyon2022 hashtagElection2022 hashtagHalalan2022,Neutral,Negative,Neutral
In these trying times let us remain vigilant Let us gain strength from one another and from those who came before us to whom we owe the right to speak for what is right and just hashtagTakderKordilyera hashtagNotoMarcosDuterte2022 hashtagHalalan2022 hashtagKontraDaya hashtagCOMELECpalpak 23,Positive,Positive,Positive
Mangondato Dapat ang gobyerno tutukan halimbawa sa agriculture tulungan ang mga agrikultura ang mga farmers via hashtagHalalan2022,Positive,Positive,Positive
Done casting my vote Vote wisely hashtagPHVote 🇵🇭 hashtagHalalan2022,Positive,Positive,Positive
Comelec will not release a ranked tally as it may be accused of trending but it allows media to do so Here is the Top 15 based on the partial official canvass of the Natl Board of Canvassers hashtagEleksyon2022,Neutral,Negative,Positive
may P500liter na diskwento sa mga boboto bukas Lunes May 9 2022 mula 8am 5pm hashtagEleksyon2022,Neutral,Positive,Positive
So youre telling me you had three years to prepare for this election and yet your machines continue to fail and your contingency plans dont work Anona Filipinos deserve a better system than this hashtagHalalan2022,Negative,Negative,Neutral
🇵🇭 Election Series Gendered Disinformation and Strongman Politics Whats at Stake for Democracy hashtaghalalan2022,Neutral,Negative,Neutral
Inked Vote Wise and Vote Smart GOD BLESS YOU PILIPINAS hashtagHalalan2022,Positive,Positive,Positive
Aksyon Demokratiko presidential candidate Domagoso says if he wins hashtagHalalan2022 he will not implement hashtagCOVID19 lockdowns during his presidency to sustain livelihood eapecially in the tourism sector,Neutral,Negative,Negative
May listahan ka na ba ng mga kandidatong iboboto mo ngayong eleksyon Gamitin ang Boto Ko Idownload ang app sa idcomtigcalbotoko o pumunta sa hashtagBotoKo hashtagNLE2022 hashtag2022NLE hashtagHalalan2022 hashtagEleksyon2022 hashtagPHVote hashtagBilangPilipino2022,Neutral,Positive,Positive
The mayorelect said it is her fathers wish that a Lacuna will someday be the of Manila Danny Lacuna had run for mayor but lost Honey Lacuna will be the first female mayor to lead Manila hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Tumindig Lumaban Bumoto 💖 hashtagVotePH hashtagHalalan2022,Positive,Positive,Positive
Wow More than half hashtagEleksyon2022 hashtagLetLeniConcede,Positive,Neutral,Positive
LOOK Preparations under way at Cainta Elementary School where presidential candidate Ka Leody de Guzman will vote this morning Room 13 houses clustered precinct 13 with a total of 782 voters 10 voters at a time are allowed to vote via hashtagHalalan2022,Neutral,Positive,Positive
I have good feeling that well win this election Scratch thatI KNOW WE WILL WIN THIS ELECTION Dahil sa Gobyernong Tapat Angat Buhay Lahat Dats ol for todays bidyow hashtagAngatBuhayLahat hashtagIpanloNa10ToParaSaLahat hashtagHalalan2022 hashtagLeniKiko2022 hashtagTaoSaTaoParaKayRobredo,Positive,Positive,Positive
You are wrong people are celebrating in the streets Check out this jubilant lady v1116538048892248 hashtagBBM hashtagMarcos hashtagPresident hashtag🇵🇭 hashtagHalalan2022 hashtagVotePh hashtagVictory,Negative,Negative,Negative
Pink President to Mayor ugh I love my Family 💕 hashtagEleksyon2022 hashtagIpana7oNa10ParaSaLahat,Positive,Positive,Positive
HAPPENING NOW The canvassing of votes for president and vice president for hashtagHalalan2022 is underway via,Neutral,Neutral,Positive
Good morning Bangon na at ipanalona10 to hashtagEleksyon2022,Positive,Positive,Positive
Our political representatives should be prioritising the action needed to ensure all women are safe from abuse in work life and play instead of targeting transgender women hashtagWomenVote hashtagEnoughIsEnough hashtagElection2022,Positive,Positive,Positive
hashtagIbaNaman hashtagHalalan2022,Neutral,Positive,Positive
100 proud that I am a VP Leni Volunteer Watcher hashtagHalalan2022,Positive,Positive,Positive
Vice presidential aspirant highlights their grassroots approach in campaigning which he thinks will compel people to vote for them hashtagHalalan2022 via,Positive,Positive,Positive
Sa pinakabagong episode ng The Howie Severino Podcast makakasama natin si Dr Jean EncinasFranco isang Political Science Associate Professor sa UP Diliman Ang kuwentuhan nina Dr Jean at Howie Severino tungkol sa hashtagEleksyon2022 mapakikinggan na,Neutral,Positive,Positive
Lord di ako makatulog Grabeng anxiety Kayo na po bahala bukas Naway maipanalo natin ito 🙏🏼 🇵🇭 💞 hashtagHalalan2022 hashtagEleksyon2022 hashtagBilangPilipino2022 hashtagLeniKiko2022 hashtagKulayRosasAngPilipinas,Positive,Neutral,Positive
More ballot boxes containing the certificates of canvass and election returns arrive at the House of Representatives on the first day of Congress canvassing of votes for president and vice president hashtagEleksyon2022 via GMA News Online,Neutral,Neutral,Positive
Election season Matinding drama madaming kontrabida at walang commercial break 🎥 🗳️ hashtagHalalan2022 hashtagDramaElection,Negative,Negative,Neutral
May our good Lord protect our vote and protect everyone involved in this election May His mercy justice and righteousness prevail today and for the rest of our days In Jesus name amen 🙏 hashtagHalalan2022 hashtagElection2022,Positive,Positive,Positive
VotedhashtagElection2022PH,Neutral,Positive,Positive
Senator says he got to talk with Senator Ping Lacson who came from a different political camp during the hashtagHalalan2022 and they talked about farming particularly where to source seedlings,Neutral,Neutral,Neutral
I just realized that the most colorful and creative art in the 🇵🇭 is on campaign posters hashtagHalalan2022 hashtagCampaignArt,Positive,Positive,Positive
Done I was nervous that I wont be able to vote because I woke up at 2AM wsevere abdominal pain I thought I will be heading to the hospital I persisted By the time I finished voting my ab pain is gone Must be my anxiety 😮‍💨 Laban Pilipinas hashtagHalalan2022,Neutral,Positive,Positive
A woman in her 40s sat beside me and said Tayo lang yung Leni dito no Youre a firsttimer Thats good The youth is amazing Let us not waste this opportunity people Vote Wisely 🌷 hashtagHalalan2022,Positive,Positive,Positive
omg this looks like a suicide note if anyone knows him pls take care of him but also he said nothing but the truth ipanalo naman natin yung bansa natin tama na sa pulpolitika hashtagPHVote hashtagHalalan2022,Negative,Positive,Neutral
DONE VOTING VOTE WISELY PHILIPPINES hashtagWeDecide hashtagEleksyon2022,Neutral,Positive,Positive
Damo naman ni may gahulat na manucurista sa sagwa voting center 😂 🤣 💅🏼 hashtagEleksyon2022,Negative,Neutral,Neutral
Please kung may napapansin kayong hindi tama wag matakot mag report sa mga kinauukulan Hindi maaaksyunan yan kung walang proper complaint hashtagHalalan2022 hashtagEleksyon2022,Positive,Positive,Positive
Brown out sira ang PCOS Ano pa hashtagEleksyon2022,Negative,Negative,Neutral
user f with the eye space the best pinakapayapang space hashtagHALALAN2022,Neutral,Neutral,Neutral
and A video of detained Senator Leila de Lima is being played at the De GuzmanBellos miting de avance De Lima who is running for reelection is one of their guest candidates hashtagBilangPilipino2022 via News5,Neutral,Neutral,Neutral
Ako ang magbibigay ng unlimited supply ng halohalo Ice cream beans leche flan sagot gulaman 🍧 🗳️ hashtaghalalan2022,Positive,Positive,Positive
Lets rally against corruption and demand transparency from our leaders loudspeaker hashtagTransparencyMatters hashtaghalalan2022,Positive,Positive,Positive
Goodluck VP hashtagEleksyon2022 hashtagHalalan2022,Positive,Positive,Positive
Kumbinsido ka bang tapat at malinis ang naging resulta ng hashtagHalalan2022 Bakit o bakit hindi,Neutral,Negative,Neutral
Bad news on the horizon hashtag🇵🇭 hashtagElection2022PH,Negative,Negative,Negative
With less than 2 hours to vote election anxietyexcitement intensifies Your last minute hashtagSwitchToLeni stories are the comfort pills we need Proud of you 🥲 🥰 💕 🇵🇭 hashtagHalalan2022,Positive,Neutral,Positive
CONT Napakahinahon at masaya po ang mga kabataan dito says PPCRV Chairperson Myla Villanueva on the state of the volunteers despite the long wait for their turn and expressed the interest of the youth to serve the public hashtagHalalan2022 hashtagPHVote hashtagPPCRV Source ABSCBN News,Neutral,Positive,Positive
Preparations are underway for this afternoons proclamation of winning partylists hashtagEleksyon2022,Neutral,Neutral,Positive
Eh yung ang aga aga may aberya na agad sa hashtagHalalan2022 Di nagkasya yung ballot ng tita ko sa machine nag paper jam Nag insist sya mag fill up ulit kahit na ayaw daw sana sya bigyan another ballot Wtf,Negative,Negative,Negative
Ayan Mama Lulu has spoken na ha 🤣 dont be eedjiots research and read up on the candidates so you can make an informed decision and hashtagVoteWisely this coming hashtagHalalan2022 bouquet hashtagIpanloNa10ToParaSaLahat,Negative,Positive,Positive
Replying to Voters lining up to vote in the southern Philippine island of Mindanao to cast their ballots in the 2022 presidential elections My story hashtagHalalan2022 hashtagVotePH hashtagEleksyon2022 hashtagBilangPilipino2022,Neutral,Neutral,Neutral
Magkaisa tayo para sa mas maunlad at mapayapang bansa hashtaghalalan2022 hashtagBayanMuna,Positive,Positive,Positive
Based on this survey and with only less than a week before the actual polls I could say that Marcos would likely to win and chances for Robredo to win are likely to dim hashtagHalalan2022,Neutral,Negative,Positive
Last stretch We got this Up and about this early hashtagHalalan2022,Positive,Positive,Positive
A petition to cancel the certificate of candidacy of presumptive president Bongbong Marcos in hashtagEleksyon2022 has reached the Supreme Court asking for an issuance of a TRO to block the counting of votes cast for him and his proclamation should he win,Neutral,Positive,Positive
Our country deserves leaders who are committed to fighting corruption and upholding integrity 🇵🇭 locked hashtagHalalan2022 hashtagAntiCorruption,Positive,Positive,Positive
Vice presidentelect Sara Duterte poses for a photo with lawmakers after she was proclaimed by Congress hashtagBilangPilipino2022,Neutral,Negative,Neutral
Module yan Anong week na ba kayo guys NASAAN ANG SANCTITY NG BOTOHAN COMELEC FOREVER BULAGBULAGAN hashtagEleksyon2022 hashtagHalalanResults,Negative,Negative,Negative
☺️ ang saklap na sinayang nyo to 😌 Huhu baka naman aasenso ang Pilipinas 😬 hashtagHalalan2022,Negative,Negative,Neutral
I was supposed to wear pink but when I saw this shirt I decided to wear it with this face mask to make a strong statement My inner face mask was pink of course hashtagHalalan2022 hashtagLeniKikoAllTheWay hashtagIpana70Na10ParaSaLahat,Positive,Positive,Positive
Reminder for voters hashtagEleksyon2022 hashtagHalalan2022 hashtag2022elections hashtagphvote,Neutral,Neutral,Positive
Angelu de Leon on pace to top Pasig 2nd district council race hashtagHalalan2022,Neutral,Neutral,Positive
Our take is that the statistical analysis of the data does not indicate any irregularities said the PPCRV with the supposed 6832 vote ratio for Bongbong Marcos and Leni Robredo based on Ateneo de Manila University mathematicians hashtagBilangPilipino2022 via News5Camille Samonte,Neutral,Neutral,Positive
ITS ELECTION DAY PILIPINAS 🗳️ Dont forget to go to your polling center today and exercise your right to vote Reminder voting centers are open from 6AM to 7PM hashtagBumotoKa hashtagHalalan2022,Positive,Positive,Positive
Replying to and Poll watchers have started arriving at the Cainta Elementary School with about 30 minutes to go until precincts open via hashtagHalalan2022 For more hashtagHalalan2022 stories visit,Neutral,Positive,Positive
Returning Sen Alan Peter Cayetano opens with Bible verse Jeremiah 2911 which talks about Gods plans Many forget the devil has plans for us plans to steal kill and destroy hashtagHalalan2022,Neutral,Neutral,Negative
Hindi ako makatulog Mga plano ko sa buhay nakikita ko sa tuwing pinipikit ko mata ko Mga planong hindi na sigurado ngayon Yakap hashtagEleksyon2022 hashtagHalalan2022,Negative,Negative,Neutral
Hindi na madaling mahikayat ang sambayanang pilipino ngayon gamit ang mga artista at mga influencers na yan pagdating sa pagboto ng Presidente at Bise Presidente hashtagHalalanResults hashtagHalalan2022 hashtagHalalanPH2022 tapos ang mga kunwari PINK na yan di pa din makapaniwala 😂 😂 😂,Positive,Negative,Positive
Ayan na May nasisira nang mga machines AHAHAHAHA hashtagEleksyon2022,Negative,Negative,Neutral
PH SENATOR TOP 12 WINNER RAFFY TULFO hashtagHalalan2022 hashtagMYXAWARDS2022,Neutral,Negative,Negative
Tama na po May test pa ko bukas Kian delos Santos Extrajudicial Killing victim under the Duterte regime I will never forget this 💗 🌸 🌷 hashtagHalalan2022 hashtagPilipinasIsPink hashtagMakatiIsPink hashtag🇵🇭IsPink hashtag10LeniRobredoPresident hashtag7KikoPangilinanVicePresident hashtag🇵🇭,Positive,Negative,Positive
Gusto ng pagbabago ayaw sa corrupt Pero ang mga binoto pag hindi TRAPO CORRUPT NAKAKAHIYA MAGING PILIPINO hashtagHalalan2022 hashtagEleksyon2022,Negative,Negative,Negative
ADDS Updates May 2 2022 Vice Presidential Candidates Social Metrics hashtagPHVote2022 hashtagHalalan2022 hashtagVotePH hashtagOurVoteOurFuture hashtagWeDecide hashtagBilangPilipino2022 hashtagFactsFirstPH hashtagPilipinasDebates2022,Neutral,Neutral,Positive
JUST IN Presidentelect Ferdinand Marcos Jr at Vice Presidentelect Sara Duterte naiproklama na bilang Pangulo at Pangalawang Pangulo ng Pilipinas hashtagEleksyon2022,Neutral,Negative,Negative
Nasa 491427 ang naitalang boto ng Joint Canvassing Committee para kay Mayor Sara Duterte sa pagkabise presidente sa overseas absentee voting Hindi na isinama sa canvassing ang mga certificate of canvass mula sa Syria at Argentina hashtagBilangPilipino2022,Neutral,Negative,Negative
Sa preeleksyon ang kaalaman ay iyong sandata Maging handa na masuri ang mga kandidato scroll hashtagKaalamanAngSandata hashtaghalalan2022,Neutral,Positive,Positive
Its 3 days before hashtagHalalan2022 I know youve done your best I know youre worthy I know youll be happy because on May 9 hashtagPinasIsPink hashtagKulayRosasAngBukas hashtagBicolIsPink hashtagMakatiIsPink hashtagNagaIsPink hashtagOnePinkMarch,Positive,Positive,Positive
Walang nasayang Hindi tayo nabigo Pinakamahalaga hindi pa tayo tapos Nagsisimula pa lang tayo Vice President Leni Robredo told her supporters hashtagBilangPilipino2022,Positive,Positive,Positive
Sana di masarap ulam nang mga bumoto kay Robin Padilla PH VOTERS PLEASE WAKEUP hashtagHalalan2022 hashtagElection2022 Quote,Negative,Negative,Negative
VOTE WISELY hashtagHalalan2022,Positive,Positive,Positive
Sa dami ng campaign ads baka makalimutan na lang ang mga campaign materials 🗳️ 🙄 hashtaghalalan2022,Negative,Negative,Neutral
Crammers for leni hays old ways hahaha hashtagEleksyon2022,Positive,Neutral,Positive
Para sa hashtagHalalan2022 huwag tayo maging apathetic Bumoto para sa kinabukasan na nais nating makita 🗳️ 🇵🇭 hashtagPHVote hashtagHalalanResponsibilidad,Positive,Positive,Positive
From zero in the 2019 senatorial election to one 11th placer in the 12man 2022 contest and with no viable prospect in the foreseeable future the yellow and pink race seems surely headed to unstoppable irrelevance hashtagHalalanResults hashtagBilangPilipino2022 hashtagEleksyon2022,Neutral,Neutral,Positive
magpaparticipate ako sa ROTC dahil parte ako ng bts army 🤪 💜 💜 hashtagEleksyon2022,Positive,Negative,Positive
Celebrity coupleturnedpoliticians Lucy TorresGomez and Richard Gomez have been proclaimed as Ormoc City Mayor and Leyte 4th District Representative respectively hashtagBilangPilipino2022,Neutral,Neutral,Negative
WHY IS NO ONE ANSWERING THIS EVERYONE ANSWER Right Now hashtagANSWERPLS hashtagALYAHISASKING hashtagHalalan2022,Neutral,Positive,Positive
hashtagFrontlinePilipinas Idineklara na ng kampo ni Bongbong Marcos Jr na siya na ang ika17 pangulo ng Pilipinas ngayong patuloy siyang nangunguna sa partial at unofficial count hashtagBilangPilipino2022 via Marlene Alcaide,Negative,Negative,Positive
sa speak po last na 🤗 hashtagHALALAN2022,Neutral,Neutral,Positive
It really reeks of bias favoritism and positive confirmation on the chances of the hashtag2 candidate per trad survey The hosts are really a covert ABM people hashtagEleksyon2022 hashtagHalalan2022 hashtagBilangPilipino2022,Negative,Neutral,Positive
As of 447 AM Ferdinand Bongbong Marcos Jr maintains a steady lead in the presidential race based on the 9821 percent partial and unofficial poll results Vice President Leni Robredo and Senator Manny Pacquiao place second and third respectively hashtagBilangPilipino2022,Neutral,Negative,Negative
GAGO 2ND SI VP LENI OMGGG hashtagEleksyon2022 hashtagHalalan2022,Positive,Neutral,Neutral
Dami tao 🥴 😅 hashtagHalalan2022,Neutral,Neutral,Neutral
Alin ang mga isyu na dapat nating tutukan sa halalan hashtaghalalan2022 hashtagPHVote hashtagDuterte,Neutral,Neutral,Neutral
i havent prayed for a long time but here i am again asking God to let us have a peaceful AND honest election i just wanna experience a good governance 🥲 hashtagEleksyon2022,Positive,Positive,Positive
hashtagBilangPilipino2022 Lord ingatan mo po bagong Pres naminBBM God bless youCongrats my PresidentFerdinand Bong2 Marcos 🥰 🥰 🥰,Positive,Negative,Negative
mga walang tulog for leni 💗 💗 💗 hashtagHalalan2022,Positive,Neutral,Positive
TINGNAN Seguridad para sa special elections sa Tubaran Lanao del Sur mahigpit na binabantayan ng mga pulis at militar hashtagEleksyon2022 via 📸 PNPDO,Neutral,Neutral,Positive
Guanzon Kinamayan ko rin siya Well we are all educated people and we come from good families Umaasa rin si dating COMELEC Commissioner Rowena Guanzon na makakakuha ng pwesto sa House of Representatives ang kanilang P3PWD PartyList hashtagBilangPilipino2022,Neutral,Positive,Positive
Ang hirap mo mahalin Pilipinas Sabi nung nagsasabi ng TANGA BOBO at WALANG SILBE sa kapwa Pilipino during the campaign period hashtagHalalanResults hashtagHalalan2022 hashtagSuspendClassesNowUP hashtagExplain2016,Neutral,Negative,Negative
Who got lazy in coming up with these numbers hashtagHalalan2022 hashtagElection2022PH,Negative,Negative,Neutral
Replying to 648 Still waiting 🙄 530 pa ako nakapila sa labas hashtagHalalan2022,Negative,Neutral,Neutral
Confetti in the sky 🌌 s final presidential campaign rally is full of confetti an allusion to confetti rallies that started on Ayala Avenue in Makati Manila and led to protests that ousted the late President Ferdinand Marcos in 1986 hashtagPHVote hashtagWeDecide hashtagHalalan2022,Neutral,Positive,Neutral
kaya magpasalamat talaga si mandarambong kay sinungaling dahil nakatulong ito para makuha ang dating kay leni robredo sa visayas at mindanao ang nakalulungkot lang talaga ay ang paraan ng pagdedesisyon ng mga Pilipino kung sino ang dapat iboto hashtagEleksyon2022 hashtagFrustratedPinoy,Negative,Negative,Neutral
Dapat di na ako natulog Straight to the precinct nalang Ang haba na ng pila 😅 hashtagHalalan2022,Neutral,Negative,Neutral
Senatorelect Robin Padilla pormal nang naiproklama bilang senador hashtagHalalan2022,Neutral,Negative,Negative
Bawat boto ay mahalaga Siguruhing rehistrado ka at handang makilahok sa hashtagHalalan2022 Nakasalalay ang ating demokrasya sa ating aktibong pakikilahok 🗳️ hashtagPHVote hashtag🇵🇭Elections,Positive,Positive,Positive
Ang mga kabataan ay may malaking papel sa pagpapabago ng bansa Bumoto para sa kanilang kinabukasan hashtagHalalan2022 hashtagKabataan,Positive,Positive,Positive
Replying to PH Election Day If you are still about to vote and have not completed your list of Senators yet please consider the ff people 6 Balita Carl 23 Eleazar 29 Gadon 40 Legarda 48 Padilla Dra Minguita 50 Panelo 52 Piol 54 Roque 57 Teodoro 62 Villar hashtagEleksyon2022 hashtagHalalan2022,Positive,Neutral,Positive
Sayang si Chel Diokno Tapos binoto mo si Blengblong Sampalin kaya kita IPOKRITA 🙄 hashtagHalalan2022 hashtagChelDiokno,Negative,Negative,Neutral
Iisang posisyon pinag aagawan Nahahati nman ang Pilipinas sa 3 Luzon Visayas Mindanao Bakit di na lang yung 2 pa nangunguna sa botohan ilagay sa Visayas at Mindanao Para sila ngayun ang gawing kinatawan Para di lang Luzon ang naunlad hashtagEleksyon2022 hashtagHalalan2022,Neutral,Neutral,Positive
Hinihintay ni Pres Rodrigo Duterte ang pormal na proklamasyon ng COMELEC bago batiin ang nanalong kandidato sa 2022 elections hashtagBilangPilipino2022,Positive,Neutral,Positive
Hindi tayo dapat maging bulag sa mga isyung panlipunan Alamin ang mga plataporma hashtagHalalan2022 hashtagPlataporma,Positive,Positive,Positive
Comelec Acting Spokes Rex Laudiangco says partylist canvassing will resume on May 25 a day after the special elections in Tubaran Lanao del Sur There are 11557 registered voters in Tubaran enough to affect the partylist results hashtagEleksyon2022,Neutral,Neutral,Positive
This is the FIRST time that I became politically active tapos ito ang mapapala ko Those votes are NOT from the Filipino people hashtagHalalan2022 hashtagleni,Negative,Negative,Neutral
Ito yung hindi katanggaptanggap eh 😭 hashtagEleksyon2022,Negative,Negative,Neutral
Thankful na tama ang lumabas sa resibo hashtagHalalan2022,Neutral,Positive,Positive
Inaatake online ng ilang netizens ang naturang NGO habang nagpapakalat ng disinformation na new government organization ang ibig sabihin nito at layong magtayo ng hiwalay na gobyerno hashtagBilangPilipino2022,Negative,Negative,Negative
Garcia Hindi applicable sa kanya yung oneyear ban dahil nanalo siya Yung oneyear ban ay applicable sa mga natalo hashtagEleksyon2022,Neutral,Neutral,Neutral
Thank you po hashtagPresident hashtagDuterte ❤️ 💚 hashtagdemocracy hashtagmajority hashtag🇵🇭 hashtag🇵🇭Election hashtagHalalan2022 hashtagHalalanResults,Neutral,Positive,Negative
The choices we make in the election will define our path to progress Choose wisely sparkles hashtagChooseWisely hashtaghalalan2022,Positive,Positive,Positive
Opisyal Ika17 Pangalawang Pangulo ng Republika ng Pilipinas Sara Zimmerman Inday Sara Duterte Carpio hashtagElection2022PH hashtagEleksyon2022 hashtagHalalan2022 hashtagPHVote hashtagWeDecide hashtagBilangPilipino2022,Neutral,Neutral,Negative
hashtagHalalan2022 Chairman Saidamen Pangarungan suspends canvassing today and resumes tomorrow at 100pm,Neutral,Neutral,Neutral
may sariling data amputa hashtagHalalan2022,Negative,Negative,Neutral
Boying Remulla appointed as DOJ Secretary nakakasuka simula na ang mga trapo Pwe sa lahat ng bumoto kay bbm PWE hashtagNoToMarcosDuterte2022 hashtagHalalan2022,Negative,Neutral,Negative
Ayoko ng cliffhanger Sana mareveal na ang winner ng eleksyon para walang suspense trophy 🗳️ hashtagHalalan2022 hashtagCliffhangerElection,Neutral,Neutral,Neutral
WATCH Press conference of the Commission on Elections regarding the random manual audit of 757 clustered precinct They have already retrieved 202 ballot boxes as of 12 noon hashtagBilangPilipino2022,Positive,Neutral,Neutral
Di nakakapgtataka kung bat talunan ang Pinklawan dahil sa ibang mga supporters na mapang mata lalo na pag may mag out na personalidad na BBMSARA sila wala ng patumpik tumpik pa cancel culture na agad hashtagHalalan2022,Negative,Negative,Negative
hashtagBBMSaraUNITEAM hashtagBBMSARA hashtagLeniKiko hashtagkakampinks hashtagHalalan2022,Neutral,Neutral,Neutral
yup even after the numerous incidences of long lines defective machines reports of votebuying questionable rulings on cases among others this agency still says they implemented a successful elections 🤨 WTF hashtagWeDecide hashtagPHVote hashtagHalalan2022,Neutral,Negative,Negative
reminder to my filipino moots wag na wag papayag na if ever masira vcm and sila na lang daw magpapasok ng ballot niyo para di na kayo maghintay magreklamo or hintayin niyo if kaya hashtagEleksyon2022,Positive,Negative,Positive
